date,store,item,sales,predicted_sales
2016-08-14,1,1,36,35.63
2016-11-13,1,1,36,35.61
2016-11-19,1,1,36,35.61
2017-06-03,1,1,36,35.59
2017-07-16,1,1,36,35.6
2014-06-22,1,1,37,35.89
2015-11-14,1,1,37,35.82
2016-07-17,1,1,37,35.62
2017-07-20,1,1,37,35.6
2017-09-23,1,1,37,35.61
2013-06-09,1,1,38,35.89
2015-07-18,1,1,38,35.83
2015-07-19,1,1,38,35.83
2015-07-26,1,1,38,35.83
2016-06-03,1,1,38,35.62
2016-07-30,1,1,38,35.7
2017-06-18,1,1,38,35.6
2017-07-02,1,1,38,35.59
2017-07-14,1,1,38,35.6
2017-08-26,1,1,38,35.61
2017-09-01,1,1,38,35.6
2016-05-15,1,1,39,35.66
2015-07-04,1,1,40,35.81
2015-09-19,1,1,40,35.84
2017-07-15,1,1,40,35.6
2015-07-16,1,1,41,35.83
2017-06-10,1,1,41,35.6
2016-07-01,1,1,42,35.61
2015-06-06,1,1,43,35.85
2017-06-28,1,1,50,35.6
2016-07-30,1,2,89,88.2
2016-08-28,1,2,89,88.19
2017-05-20,1,2,89,87.94
2017-07-23,1,2,89,88.16
2017-08-06,1,2,89,88.14
2015-07-04,1,2,90,88.21
2016-07-03,1,2,90,88.2
2016-07-08,1,2,90,88.33
2017-08-20,1,2,90,87.99
2016-09-25,1,2,91,88.22
2017-05-21,1,2,91,88.05
2017-08-25,1,2,91,88.17
2014-07-27,1,2,92,88.23
2016-07-31,1,2,94,88.19
2017-07-08,1,2,94,88.25
2017-07-22,1,2,94,88.14
2017-08-27,1,2,94,88.16
2016-07-02,1,2,95,88.21
2016-06-19,1,2,96,88.0
2016-06-18,1,2,97,88.01
2017-07-09,1,2,97,88.24
2017-07-02,1,2,98,88.12
2016-08-14,1,2,100,88.37
2017-06-25,1,2,101,88.1
2014-07-13,1,2,102,88.36
2016-06-04,1,2,103,88.14
2017-06-04,1,2,103,88.05
2016-07-17,1,2,104,88.06
2017-06-03,1,2,106,88.06
2017-07-16,1,2,115,87.97
2017-07-08,1,3,57,56.97
2014-07-19,1,3,58,57.0
2015-06-19,1,3,58,57.0
2016-09-16,1,3,58,56.96
2017-07-02,1,3,58,56.97
2015-07-11,1,3,59,56.99
2016-05-05,1,3,59,56.99
2016-06-12,1,3,59,56.99
2017-05-13,1,3,59,56.98
2017-05-27,1,3,59,56.97
2017-07-09,1,3,59,56.97
2017-07-21,1,3,59,56.98
2017-08-20,1,3,59,56.98
2015-05-03,1,3,60,56.99
2015-09-12,1,3,60,56.96
2016-07-17,1,3,60,56.99
2017-07-28,1,3,60,56.67
2015-07-12,1,3,61,56.99
2017-08-13,1,3,61,56.97
2017-05-28,1,3,62,56.68
2014-07-20,1,3,65,57.0
2017-05-26,1,3,65,56.99
2017-07-14,1,3,65,56.98
2017-05-07,1,3,66,56.98
2016-04-10,1,3,67,56.99
2017-06-17,1,3,67,56.99
2017-07-23,1,3,68,56.98
2017-08-05,1,3,68,56.97
2017-07-16,1,3,69,56.98
2016-07-24,1,3,70,56.99
2017-07-13,1,4,35,35.0
2015-10-25,1,4,36,35.0
2017-04-23,1,4,36,35.0
2017-06-04,1,4,36,34.99
2017-06-18,1,4,36,35.0
2017-11-12,1,4,36,35.0
2015-07-05,1,4,37,35.0
2017-04-01,1,4,37,34.99
2017-07-01,1,4,37,34.99
2017-08-19,1,4,37,35.0
2014-04-05,1,4,38,35.0
2014-08-03,1,4,38,35.0
2016-06-26,1,4,38,35.0
2017-07-15,1,4,38,35.0
2015-07-11,1,4,39,35.0
2016-06-25,1,4,39,35.0
2017-07-02,1,4,39,34.99
2017-07-09,1,4,39,35.0
2017-08-12,1,4,39,35.0
2014-07-20,1,4,40,35.0
2016-05-14,1,4,40,35.0
