date,store,item,sales,predicted_sales
2017-12-02,1,1,16,17.79735694985411
2017-12-03,1,1,31,16.437855144766477
2017-12-04,1,1,7,10.524671725253988
2017-12-05,1,1,20,11.522502933270065
2017-12-06,1,1,17,14.824978041257296
2017-12-07,1,1,18,15.085873784090461
2017-12-08,1,1,17,15.856022438585438
2017-12-09,1,1,27,15.866978297660228
2017-12-10,1,1,20,22.680544421841223
2017-12-11,1,1,20,10.07332408261932
2017-12-12,1,1,13,15.246889183625079
2017-12-13,1,1,17,14.88190739425047
2017-12-14,1,1,14,16.338870582941706
2017-12-15,1,1,16,13.137661476377211
2017-12-16,1,1,15,20.164238805947164
2017-12-17,1,1,22,18.598172675089188
2017-12-18,1,1,19,11.306149822487154
2017-12-19,1,1,7,14.137007788222453
2017-12-20,1,1,16,13.143303027488146
2017-12-21,1,1,12,13.847769161875775
2017-12-22,1,1,6,13.13475782772711
2017-12-23,1,1,18,14.510474361887518
2017-12-24,1,1,19,19.875290989070276
2017-12-25,1,1,13,12.414348616771338
2017-12-26,1,1,16,12.984153226950149
2017-12-27,1,1,14,12.849178142210059
2017-12-28,1,1,19,13.03829114670053
2017-12-29,1,1,15,10.198230634821709
2017-12-30,1,1,27,16.372249375479445
2017-12-31,1,1,23,17.51126197427046
2017-12-02,1,2,64,59.25550980515209
2017-12-03,1,2,59,65.76142012600566
2017-12-04,1,2,33,46.97757135599139
2017-12-05,1,2,45,42.63433692312735
2017-12-06,1,2,50,45.51586733297641
2017-12-07,1,2,47,55.23658215155371
2017-12-08,1,2,44,49.10924744477859
2017-12-09,1,2,50,46.50507387914484
2017-12-10,1,2,50,52.78239997407819
2017-12-11,1,2,43,35.74913067671824
2017-12-12,1,2,37,36.780600228005106
2017-12-13,1,2,50,39.95865814775562
2017-12-14,1,2,42,53.40420307308931
2017-12-15,1,2,52,42.59550349614386
2017-12-16,1,2,48,51.632020750265504
2017-12-17,1,2,55,49.8573237145346
2017-12-18,1,2,37,38.020200759263446
2017-12-19,1,2,41,40.91696924927564
2017-12-20,1,2,35,41.861472709323486
2017-12-21,1,2,39,42.88943186158349
2017-12-22,1,2,41,37.44568395465042
2017-12-23,1,2,52,48.70210164739622
2017-12-24,1,2,47,43.87146445875394
2017-12-25,1,2,37,31.076927037688204
2017-12-26,1,2,43,42.020357139229795
2017-12-27,1,2,55,39.99800942988153
2017-12-28,1,2,50,40.27518601305645
2017-12-29,1,2,50,46.19693476346449
2017-12-30,1,2,56,42.44393554847863
2017-12-31,1,2,67,53.65487122042405
2017-12-02,1,3,31,31.012738938248024
2017-12-03,1,3,34,31.59282956935765
2017-12-04,1,3,21,21.92347559410867
2017-12-05,1,3,15,28.74996764187344
2017-12-06,1,3,32,25.71221121429839
2017-12-07,1,3,34,24.043043581125957
2017-12-08,1,3,27,28.29775931199872
2017-12-09,1,3,36,28.777740482586598
2017-12-10,1,3,44,32.31648244467415
2017-12-11,1,3,21,19.132834688993945
2017-12-12,1,3,28,25.206493871344215
2017-12-13,1,3,30,27.326098791905924
2017-12-14,1,3,27,25.181009954781548
2017-12-15,1,3,30,27.361420323918995
2017-12-16,1,3,32,26.064424586401973
2017-12-17,1,3,39,31.90666543448087
2017-12-18,1,3,21,22.532869916630798
2017-12-19,1,3,20,22.158991267131533
2017-12-20,1,3,21,23.248629280006423
2017-12-21,1,3,23,25.814780026516654
2017-12-22,1,3,22,25.786792633049544
2017-12-23,1,3,37,27.286292584079714
